iteration,gamma,cost,loss,obj
0,0.25,0.0530414148,0.6,0.20304141480000001
0,0.5,0.14641996070000002,0.4,0.34641996070000003
0,0.75,0.313905315,0.1,0.38890531500000003
0,1.0,0.313905315,0.1,0.41390531500000005
0,1.25,0.313905315,0.1,0.4389053150000001
0,1.5,0.313905315,0.1,0.46390531500000004
0,1.75,0.47140746600000005,0.0,0.47140746600000005
0,2.0,0.47140746600000005,0.0,0.47140746600000005
1,0.25,0.11880067420000003,0.2,0.16880067420000003
1,0.5,0.11880067420000003,0.2,0.21880067420000002
1,0.75,0.11880067420000003,0.2,0.26880067420000003
1,1.0,0.11880067420000003,0.2,0.3188006742
1,1.25,0.11880067420000003,0.2,0.3688006742
1,1.5,0.39399573400000004,0.0,0.39399573400000004
1,1.75,0.39399573400000004,0.0,0.39399573400000004
1,2.0,0.39399573400000004,0.0,0.39399573400000004
2,0.25,0.12848052400000004,0.2,0.17848052400000003
2,0.5,0.12848052400000004,0.2,0.22848052400000002
2,0.75,0.12848052400000004,0.2,0.278480524
2,1.0,0.12848052400000004,0.2,0.32848052400000005
2,1.25,0.12848052400000004,0.2,0.37848052400000004
2,1.5,0.12848052400000004,0.2,0.4284805240000001
2,1.75,0.12848052400000004,0.2,0.4784805240000001
2,2.0,0.48156339100000006,0.0,0.48156339100000006
3,0.25,0.030198316000000003,0.7,0.205198316
3,0.5,0.227325952,0.1,0.277325952
3,0.75,0.227325952,0.1,0.302325952
3,1.0,0.227325952,0.1,0.327325952
3,1.25,0.227325952,0.1,0.352325952
3,1.5,0.227325952,0.1,0.37732595199999996
3,1.75,0.37800241700000003,0.0,0.37800241700000003
3,2.0,0.37800241700000003,0.0,0.37800241700000003
4,0.25,0.0644952016,0.4,0.1644952016
4,0.5,0.13308569600000003,0.2,0.233085696
4,0.75,0.13308569600000003,0.2,0.283085696
4,1.0,0.13308569600000003,0.2,0.33308569600000004
4,1.25,0.13308569600000003,0.2,0.38308569600000003
4,1.5,0.13308569600000003,0.2,0.433085696
4,1.75,0.13308569600000003,0.2,0.483085696
4,2.0,0.506663135,0.0,0.506663135
5,0.25,0.0,1.0,0.25
5,0.5,0.274523734,0.2,0.374523734
5,0.75,0.389258682,0.0,0.389258682
5,1.0,0.389258682,0.0,0.389258682
5,1.25,0.389258682,0.0,0.389258682
5,1.5,0.389258682,0.0,0.389258682
5,1.75,0.389258682,0.0,0.389258682
5,2.0,0.389258682,0.0,0.389258682
6,0.25,0.034728842999999995,0.8,0.234728843
6,0.5,0.341645869,0.0,0.341645869
6,0.75,0.341645869,0.0,0.341645869
6,1.0,0.341645869,0.0,0.341645869
6,1.25,0.341645869,0.0,0.341645869
6,1.5,0.341645869,0.0,0.341645869
6,1.75,0.341645869,0.0,0.341645869
6,2.0,0.341645869,0.0,0.341645869
7,0.25,0.031708338,0.7,0.20670833800000002
7,0.5,0.1816136703,0.2,0.28161367029999995
7,0.75,0.233143682,0.1,0.308143682
7,1.0,0.233143682,0.1,0.333143682
7,1.25,0.233143682,0.1,0.358143682
7,1.5,0.233143682,0.1,0.383143682
7,1.75,0.400484593,0.0,0.400484593
7,2.0,0.400484593,0.0,0.400484593
8,0.25,0.0,1.0,0.25
8,0.5,0.32775878699999994,0.0,0.32775878699999994
8,0.75,0.32775878699999994,0.0,0.32775878699999994
8,1.0,0.32775878699999994,0.0,0.32775878699999994
8,1.25,0.32775878699999994,0.0,0.32775878699999994
8,1.5,0.32775878699999994,0.0,0.32775878699999994
8,1.75,0.32775878699999994,0.0,0.32775878699999994
8,2.0,0.32775878699999994,0.0,0.32775878699999994
9,0.25,0.13608008700000002,0.4,0.23608008700000002
9,0.5,0.26919004300000005,0.0,0.26919004300000005
9,0.75,0.26919004300000005,0.0,0.26919004300000005
9,1.0,0.26919004300000005,0.0,0.26919004300000005
9,1.25,0.26919004300000005,0.0,0.26919004300000005
9,1.5,0.26919004300000005,0.0,0.26919004300000005
9,1.75,0.26919004300000005,0.0,0.26919004300000005
9,2.0,0.26919004300000005,0.0,0.26919004300000005
10,0.25,0.13608008700000002,0.4,0.23608008700000002
10,0.5,0.26919004300000005,0.0,0.26919004300000005
10,0.75,0.26919004300000005,0.0,0.26919004300000005
10,1.0,0.26919004300000005,0.0,0.26919004300000005
